,sqft,beds,baths,lot_size,year_built,address,Bronx,Brooklyn,Manhattan,New York,Queens,Staten Island,Condo,Land,Multi-Family Home,Single Family Home,sale_price
188,1600.0,3.0,2.5,3750.0,1995.0,14 Wolcott Ave,0,0,0,0,0,1,0,0,0,1,660000.0
189,2916.0,3.0,2.5,4200.0,1975.0,15 Elwood Ave,0,0,0,0,0,1,0,0,0,1,890000.0
190,2800.0,3.0,2.5,4400.0,1975.0,1 Villanova St,0,0,0,0,0,1,0,0,0,1,940000.0
191,2200.0,4.0,3.0,5000.0,1950.0,196 Lindenwood Rd,0,0,0,0,0,1,0,0,0,1,788000.0
192,1600.0,3.0,2.5,2825.0,2000.0,34 Amy Ln,0,0,0,0,0,1,0,0,0,1,649000.0
193,2270.0,4.0,3.5,3450.0,2005.0,125 Arbutus Ave,0,0,0,0,0,1,0,0,0,1,875000.0
194,2012.0,5.0,2.0,12632.4116,1915.0,22 Meadow Ave,0,0,0,0,0,1,0,0,0,1,850000.0
195,1536.0,3.0,1.5,3000.0,1980.0,382 Jefferson Ave,0,0,0,0,0,1,0,0,0,1,580000.0
196,1583.0,3.0,1.5,3690.0,1925.0,272 Van Pelt Ave,0,0,0,0,0,1,0,0,0,1,470000.0
197,1060.0,3.0,1.5,1373.0,1991.0,34 Houston Ln,0,0,0,0,0,1,1,0,0,0,461000.0
198,1584.0,2.0,2.5,1600.0,1940.0,2182 E 28th St,0,1,0,0,0,0,0,0,0,1,770000.0
199,1660.0,3.0,2.5,2000.0,2004.0,327 Colony Ave,0,0,0,0,0,1,0,0,0,1,599000.0
200,1200.0,3.0,2.5,2500.0,1965.0,38 Ainsworth Ave,0,0,0,0,0,1,0,0,0,1,625000.0
201,2760.0,5.0,4.5,3000.0,1960.0,2024 E 54th St,0,1,0,0,0,0,0,0,1,0,995000.0
202,1510.0,3.0,2.5,3264.0,1925.0,22 Josephine St,0,0,0,0,0,1,0,0,0,1,690000.0
203,1680.0,3.0,2.5,3500.0,2003.0,7 Hank Pl,0,0,0,0,0,1,0,0,0,1,730000.0
204,1810.0,3.0,3.5,2614.0,1940.0,140-38 69 Ave,0,0,0,0,1,0,0,0,1,0,1300000.0
205,2400.0,3.0,3.0,3920.0,1950.0,70-12 171 St,0,0,0,0,1,0,0,0,0,1,960000.0
206,1833.0,4.0,2.5,4356.0,1960.0,216-28 28th Rd,0,0,0,1,0,0,0,0,0,1,1130000.0
207,4080.0,0.0,2.0,3414.0,1930.0,1531 E 7th St,0,1,0,0,0,0,0,0,1,0,2160000.0
208,2236.0,5.0,2.0,3920.0,1950.0,159-43 98th St,0,0,0,1,0,0,0,0,1,0,900000.0
209,2736.0,4.0,2.5,4485.0,2001.0,454 Main St,0,0,0,0,0,1,0,0,0,1,990000.0
210,1550.0,3.0,2.5,2500.0,1997.0,332 Mason Blvd,0,0,0,0,0,1,0,0,0,1,675000.0
211,1316.0,3.0,2.0,2040.0,1920.0,1737 W 2nd St,0,1,0,0,0,0,0,0,0,1,929000.0
212,1440.0,3.0,1.5,3588.0,1996.0,70 Salamander Ct,0,0,0,0,0,1,0,0,0,1,540000.0
213,2546.0,4.0,2.5,4800.0,1985.0,99 Ramapo Ave,0,0,0,0,0,1,0,0,0,1,820000.0
214,2012.0,3.0,3.5,1868.0,1983.0,8 Green Valley Rd,0,0,0,0,0,1,0,0,0,1,660000.0
215,1950.0,3.0,2.0,2441.0,1925.0,293 Bay 8 St,0,1,0,0,0,0,0,0,1,0,965000.0
216,1024.0,3.0,1.5,1800.0,1925.0,1452 E 53rd St,0,1,0,0,0,0,0,0,0,1,580000.0
217,1150.0,2.0,1.5,1350.0,1986.0,299 Lamberts Ln,0,0,0,0,0,1,1,0,0,0,470000.0
218,1960.0,6.0,3.0,2500.0,1930.0,1458 84th St,0,1,0,0,0,0,0,0,0,1,1225000.0
219,3300.0,10.0,3.5,2000.0,1920.0,680 Onderdonk Ave,0,0,0,1,0,0,0,0,1,0,998000.0
220,1496.0,3.0,1.5,4558.0,1940.0,2058 Brown St,0,1,0,0,0,0,0,0,0,1,760000.0
221,1300.0,3.0,3.5,1092.0,2005.0,76 Dartmouth Loop,0,0,0,0,0,1,1,0,0,0,675000.0
222,1950.0,4.0,2.0,1950.0,1955.0,1517 85th St,0,1,0,0,0,0,0,0,1,0,1115000.0
223,1296.0,2.0,1.0,1960.0,2002.0,410 Raritan Ave,0,0,0,0,0,1,0,0,0,1,565000.0
224,2400.0,5.0,3.0,3175.0,1920.0,2748 E 21st St,0,1,0,0,0,0,0,0,0,1,875000.0
225,1336.0,4.0,2.5,4000.0,1970.0,44 E Stroud Ave,0,0,0,0,0,1,0,0,0,1,720000.0
