,sqft,beds,baths,lot_size,year_built,address,property_type,neighborhood,borough,sale_price
282,3372.0,7.0,3.0,1742.0,1905.0,60-66 68th Rd,Multi-Family Home,Ridgewood,New York,1230000.0
283,3396.0,13.0,4.0,2452.0,1920.0,2854 W 17 St SW,Multi-Family Home,Coney Island,Brooklyn,999999.0
284,1750.0,3.0,3.5,1395.0,2005.0,23 Junction Ct,Condo,Bay Terrace,Staten Island,595000.0
285,1156.0,3.0,3.0,6600.0,1950.0,84 Oceanview Pl,Single Family Home,Great Kills,Staten Island,742500.0
286,2250.0,5.0,4.0,2500.0,1955.0,1310 62nd St,Single Family Home,Borough Park,Brooklyn,870000.0
287,1472.0,2.0,2.0,4000.0,1930.0,169 Hickory Ave,Single Family Home,South Beach,Staten Island,455000.0
288,2495.0,6.0,5.0,5480.0,2006.0,127 Barry St,Single Family Home,Rossville,Staten Island,818500.0
289,1452.0,3.0,1.5,900.0,1988.0,230 Timber Ridge Dr,Condo,Bay Terrace,Staten Island,395000.0
290,1260.0,3.0,2.5,1920.0,1987.0,49 Oceanic Ave,Single Family Home,Eltingville,Staten Island,560000.0
291,1188.0,3.0,2.0,4975.0,1950.0,2316 E 64th St,Single Family Home,Mill Basin,Brooklyn,825000.0
292,2000.0,6.0,3.0,3060.0,1910.0,253 Clarkson Ave,Multi-Family Home,Flatbush,Brooklyn,950000.0
293,1400.0,3.0,2.5,2668.0,2000.0,47 Anjali Loop,Single Family Home,New Springville,Staten Island,670000.0
294,1900.0,3.0,4.0,2200.0,2003.0,82 Finley Ave,Single Family Home,New Dorp Beach,Staten Island,660000.0
295,1912.0,3.0,2.0,6000.0,1950.0,36 Seneca Ave,Single Family Home,Sunnyside,Staten Island,560000.0
296,1813.0,3.0,2.0,2233.0,1930.0,2445 E 19th St,Multi-Family Home,Sheepshead Bay,Brooklyn,865000.0
297,1500.0,2.0,1.5,1520.0,1987.0,21 Venus Ln,Condo,New Springville,Staten Island,504888.0
298,1152.0,3.0,1.5,2500.0,1960.0,79 Lamport Blvd,Single Family Home,South Beach,Staten Island,535000.0
299,1488.0,3.0,2.0,7000.0,1915.0,256 Elm St,Single Family Home,West Brighton,Staten Island,499999.0
300,672.0,2.0,1.5,5600.0,1950.0,41 Buel Ave,Single Family Home,Dongan Hills,Staten Island,499999.0
301,2080.0,3.0,2.0,6500.0,1952.0,284 London Rd,Single Family Home,Lighthouse Hill,Staten Island,685000.0
302,2142.0,3.0,2.0,4521.0,2008.0,32 Mersereau Ave,Single Family Home,Mariners Harbor,Staten Island,700000.0
303,1273.0,3.0,2.0,1424.0,1945.0,3501 Avenue R,Single Family Home,Marine Park,Brooklyn,780000.0
304,1064.0,3.0,1.5,1800.0,1925.0,1715 E 36th St,Single Family Home,Marine Park,Brooklyn,630000.0
305,1490.0,3.0,2.5,3125.0,1985.0,446 Clifton Ave,Single Family Home,Rosebank,Staten Island,580000.0
306,1991.0,4.0,2.5,4000.0,1970.0,19 Trent St,Single Family Home,Great Kills,Staten Island,670000.0
307,2220.0,5.0,4.5,5000.0,2003.0,621 Rockaway St,Single Family Home,Tottenville,Staten Island,1260000.0
308,2808.0,4.0,2.5,3150.0,1986.0,27 Blythe Pl,Single Family Home,Great Kills,Staten Island,510000.0
309,2280.0,7.0,4.0,2614.0,1930.0,570 Chester St,Multi-Family Home,Brownsville,Brooklyn,948000.0
310,1650.0,4.0,2.0,3920.0,1950.0,166-08 21 Rd,Single Family Home,Clearview,Queens,800000.0
311,1794.0,3.0,3.0,2700.0,1910.0,186 Hatfield Pl,Single Family Home,Port Richmond,Staten Island,470000.0
312,2044.0,4.0,4.0,3100.0,1980.0,142 Alexander Ave,Single Family Home,Eltingville,Staten Island,675000.0
313,1370.0,4.0,2.5,2317.0,1997.0,26 Bentley Ln,Single Family Home,Tottenville,Staten Island,649000.0
314,1492.0,4.0,3.5,2656.0,2005.0,20 Santa Monica Ln,Single Family Home,Woodrow,Staten Island,752000.0
315,1778.0,3.0,2.5,2550.0,1999.0,62 Seguine Loop,Single Family Home,Prince's Bay,Staten Island,715000.0
316,2564.0,3.0,3.0,4770.0,1970.0,19 Thurston St,Single Family Home,Westerleigh,Staten Island,910000.0
317,2072.0,3.0,3.0,4096.0,1982.0,62 Lewiston St,Single Family Home,New Springville,Staten Island,805000.0
318,850.0,3.0,1.0,1880.0,1935.0,940 Olympia Blvd,Single Family Home,Midland Beach,Staten Island,363000.0
319,1956.0,3.0,2.5,1759.0,1930.0,223 Dahlgren Pl,Single Family Home,Dyker Heights,Brooklyn,830000.0
320,2100.0,5.0,3.0,2500.0,1930.0,2222 E 24th St,Multi-Family Home,Sheepshead Bay,Brooklyn,1285000.0
321,1984.0,4.0,2.5,5000.0,1970.0,64 Uxbridge St,Single Family Home,Willowbrook,Staten Island,703000.0
322,1500.0,3.0,5.0,2300.0,2006.0,2445 E 69th St,Single Family Home,Bergen Beach,Brooklyn,735000.0
323,1480.0,3.0,2.5,2305.0,1986.0,112 Arrowood Ct,Condo,Rossville,Staten Island,432000.0
